date,open,high,low,close,volume
2024-06-20,216.32,218.7413,216.15,218.16,7290516
2024-06-21,217.83,217.9,214.255,214.78,8935399
2024-06-24,215.55,215.94,215.2,215.63,4626923
2024-06-25,214.96,215.31,214.12,214.56,3847694
2024-06-26,212.39,213.11,212.1204,212.58,4690348
2024-06-27,214.71,215.5,214.45,214.99,4977837
2024-06-28,215.64,215.8148,214.82,215.01,3955080
2024-07-01,215.25,216,214.485,215.57,3797921
2024-07-02,215.33,216.08,214.6204,215.56,4921672
2024-07-03,217.34,218.7397,217.33,217.99,5055313
2024-07-05,219.58,221.28,219.58,220.93,5950550
2024-07-08,219.64,220.04,217.41,218.19,5790811
2024-07-09,218.57,219.29,217.265,218.56,3904495
2024-07-10,220.14,220.71,219.16,219.36,5556185
2024-07-11,222.65,224.1489,221.48,223.25,9323981
2024-07-12,222.03,223.62,221.86,223.11,5179297
2024-07-15,223.39,225.59,223.02,223.83,5719339
2024-07-16,225.45,228.29,225.3,228.29,11070663
2024-07-17,228.79,229.65,226.67,227.23,8620511
2024-07-18,227.71,228.32,225.57,225.78,5485459
2024-07-19,221.52,222.68,221.41,221.73,8665956
2024-07-22,221.58,221.92,220.4,221.8,5334060
2024-07-23,222.34,222.75,221.86,222.58,4435700
2024-07-24,223.47,224.88,221.74,221.8,6838783
2024-07-25,219.02,219.2607,217.52,218.33,9777054
2024-07-26,219.96,221.04,219.7,220.63,6328784
2024-07-29,221.26,221.55,219.045,220.32,4665057
2024-07-30,221.41,222.92,220.355,222.52,4939531
2024-07-31,223.73,226.6,223.64,226.55,7316552
2024-08-01,226.74,227.57,225.05,225.77,7217224
2024-08-02,227.95,228.76,222.865,225.34,11109387
2024-08-05,220.56,223.1,220.241,222.48,8939011
2024-08-06,221.5,222.14,220.11,220.7,14362267
2024-08-07,221.94,222.31,220.35,220.55,5287817
2024-08-08,222.73,224.25,222.515,224.01,6327054
2024-08-09,224.82,225.28,223.82,224.56,4441017
2024-08-12,226.14,228.535,225.965,228.41,5561259
2024-08-13,228.07,228.87,227.59,228.06,6740238
2024-08-14,226.55,227.48,225.35,226.2,5462495
2024-08-15,226.51,227.5,225.12,226.91,5273310
2024-08-16,229.99,232.02,229.005,231.99,11924536
2024-08-19,230.15,231.78,229.74,231.61,5164817
2024-08-20,233.71,234.01,231.13,232.46,9073611
2024-08-21,231.69,232.87,230.48,232.15,5337388
2024-08-22,230.35,230.38,228.26,229.37,5765369
2024-08-23,231.04,232.73,230.5199,232.02,5418171
2024-08-26,233.45,233.5,232.06,232.76,3151384
2024-08-27,231.69,233.47,231.5701,233.39,4435606
2024-08-28,232,232.02,230.73,231.75,4961482
2024-08-29,231.95,233.61,231.92,232.95,5524161
2024-08-30,232.53,232.86,230.5501,231.29,5742963
2024-09-03,230.38,230.54,228.52,230.29,6417918
2024-09-04,229.79,231.06,229.375,230.43,4628694
2024-09-05,232.72,232.89,231.33,232.35,4838112
2024-09-06,231.83,232.76,229.62,230.63,6315824
2024-09-09,231.26,231.62,230.39,231.6,3548806
